ProductID,ProductName,Category,Price
1,Choose Bit,Clothing,331.23
2,Face What,Toys,262.5
3,Ever Management,Home,30.43
4,Let Style,Home,385.81
5,Bank Job,Beauty,214.07
6,Hear Tonight,Home,422.9
7,See General,Toys,398.95
8,School Face,Electronics,242.22
9,Attorney To,Toys,326.74
10,Already Argue,Electronics,341.95
11,Daughter Cultural,Clothing,456.81
12,Someone Day,Electronics,177.19
13,Serve Management,Home,301.89
14,Language Lose,Home,155.89
15,Performance Heart,Toys,81.72
16,Everything Successful,Beauty,26.11
17,Star Society,Electronics,424.79
18,Near Dark,Books,493.64
19,Wind What,Clothing,271.97
20,Serious Standard,Home,123.75
21,Growth House,Home,80.28
22,Far Approach,Electronics,254.63
23,Fly Nor,Home,20.76
24,Spend Cup,Books,443.44
25,Affect You,Books,68.3
26,White Pay,Electronics,343.71
27,Interview Anything,Home,142.53
28,But Discover,Home,272.27
29,Same Be,Books,146.8
30,Drop Question,Clothing,92.39
31,Prove Beat,Clothing,191.74
32,Entire Necessary,Books,9.91
33,Whether Must,Electronics,197.13
34,Eye Wall,Books,340.78
35,Class She,Home,407.39
36,Cultural Run,Home,163.08
37,Lay Themselves,Electronics,443.43
38,See Subject,Electronics,245.73
39,Population Mind,Clothing,284.28
40,Party Someone,Books,74.42
41,He Score,Toys,71.58
42,Here Book,Clothing,430.77
43,Kid Play,Beauty,260.46
44,Keep Sport,Books,453.63
45,Morning Any,Home,229.31
46,Call Better,Electronics,189.25
47,Try Woman,Books,154.54
48,Support Accept,Books,58.63
49,Who Company,Electronics,132.9
50,Into People,Beauty,271.14
51,Beautiful Possible,Electronics,153.84
52,Project Information,Electronics,385.76
53,Rest Public,Toys,275.77
54,Learn Chair,Beauty,150.08
55,Your Money,Toys,274.84
56,Goal Support,Clothing,451.05
57,Number Much,Beauty,26.09
58,Head Or,Toys,207.44
59,Point Common,Clothing,420.81
60,Perform Continue,Beauty,467.35
61,Social Each,Clothing,44.57
62,Share She,Beauty,352.72
63,Fact Change,Books,443.48
64,We Point,Electronics,363.12
65,Positive Fish,Electronics,243.67
66,Miss Worker,Toys,336.92
67,Story Provide,Clothing,303.43
68,Right Become,Clothing,215.16
69,Picture Pm,Home,184.34
70,Show Meet,Beauty,378.39
71,Front Site,Clothing,361.9
72,Finish Interesting,Books,171.54
73,Interesting Talk,Books,368.01
74,Its Sing,Toys,106.88
75,Response Age,Clothing,245.85
76,Note Itself,Electronics,461.43
77,Organization Reason,Beauty,183.67
78,Mission Dream,Books,34.29
79,Dinner Reason,Electronics,88.37
80,Material Mrs,Electronics,215.63
81,Card Try,Beauty,200.55
82,Positive Much,Books,378.29
83,National Open,Electronics,17.61
84,Red Season,Electronics,460.16
85,Spend Response,Books,287.45
86,Today Important,Home,244.32
87,Election Job,Books,92.25
88,Talk Less,Books,413.96
89,Require Indeed,Books,72.27
90,Room Drive,Toys,94.45
91,Guess Student,Electronics,116.13
92,Street Begin,Books,230.77
93,Everybody Way,Beauty,261.04
94,Have Significant,Books,434.84
95,Development Common,Home,188.4
96,Already Usually,Clothing,255.62
97,Protect Computer,Beauty,69.39
98,Space Report,Toys,387.39
99,Recent Quickly,Beauty,133.93
100,Site Stay,Electronics,347.64
101,Very Official,Toys,157.2
102,Able Trouble,Books,151.01
103,Past Current,Beauty,409.3
104,Manager A,Electronics,31.72
105,Stay Wind,Home,202.46
106,Claim Cup,Home,225.48
107,Start Democratic,Books,376.03
108,Cold Each,Toys,165.9
109,Reach Nor,Beauty,335.26
110,Last Before,Books,114.09
111,Million Open,Home,50.17
112,Make Together,Electronics,34.75
113,With Contain,Books,229.71
114,Local Send,Toys,30.98
115,Security Focus,Home,477.66
116,Address You,Beauty,382.31
117,We Keep,Toys,13.73
118,Heavy Crime,Toys,328.14
119,Operation Bill,Toys,420.1
120,Trade Full,Clothing,324.11
121,For Very,Home,13.65
122,Owner Way,Toys,49.86
123,Moment Data,Electronics,60.51
124,Song Article,Electronics,210.92
125,How Term,Toys,450.84
126,Offer Position,Home,190.46
127,Ten Analysis,Toys,295.12
128,Her Ground,Electronics,437.25
129,Many Own,Home,430.75
130,Dream Food,Beauty,114.51
131,Shake Material,Beauty,483.35
132,Agreement Else,Home,394.88
133,Mean Mouth,Books,239.15
134,Sound He,Home,68.67
135,Skin Study,Books,137.45
136,Speech Before,Electronics,447.37
137,Bill Yard,Clothing,186.76
138,Success Open,Electronics,35.09
139,Day Guy,Books,36.02
140,School Former,Electronics,119.18
141,Name Strong,Electronics,250.86
142,Much Research,Clothing,76.03
143,Federal Professor,Books,440.45
144,Long Establish,Home,187.36
145,Painting Hope,Home,190.45
146,Author Picture,Electronics,154.03
147,Position Story,Beauty,485.4
148,Why Camera,Electronics,269.86
149,We Coach,Beauty,238.85
150,Out Conference,Clothing,394.89
151,Believe Interview,Beauty,139.56
152,Image Thank,Electronics,354.75
153,Pressure Suggest,Home,102.06
154,Position Face,Home,83.99
155,Pull Food,Toys,337.52
156,Take Think,Toys,384.09
157,If Thus,Beauty,347.79
158,Certainly Someone,Home,90.34
159,Team Education,Beauty,248.77
160,Product Pretty,Toys,440.07
161,Hair Right,Toys,110.41
162,Nation Senior,Books,452.77
163,Represent Contain,Home,336.01
164,Citizen Oil,Home,352.08
165,Million Lose,Home,214.99
166,Case Memory,Toys,294.04
167,Shoulder Especially,Electronics,498.92
168,Score Reduce,Toys,329.07
169,Power Expect,Beauty,326.62
170,Recent Where,Home,209.02
171,Rock Ahead,Home,276.74
172,When It,Toys,416.72
173,Interesting Budget,Toys,38.0
174,Nice Front,Books,330.92
175,Lot Born,Clothing,273.39
176,One Can,Clothing,23.37
177,Cell General,Home,381.2
178,Kitchen Price,Clothing,420.77
179,Respond Hour,Toys,423.75
180,Tell Decide,Clothing,428.16
181,Technology Near,Clothing,315.7
182,Network Cell,Toys,270.27
183,Son Kid,Beauty,189.18
184,Pressure Training,Electronics,109.46
185,Themselves Claim,Books,380.53
